D0649307,49_70
D0649309,1095_9
D0649309,1343_169
D0649309,1513_90
D0649309,1726_33
D0649309,1887_35
D0649309,1991_46
D0649309,2003_114
D0649309,571_144
D0649309,574_36
D0649313,1838_0
D0649313,2351_153
D0649313,2367_175
D0649313,578_52
D0649313,675_181
D0649317,1333_46
D0649317,271_86
D0649317,505_117
D0649317,831_3
D0649317,911_74
D0649324,1347_187
D0649324,1491_28
D0649324,1662_59
D0649324,1855_170
D0649324,2182_96
D0649324,2245_100
D0649324,23_154
D0649324,516_75
D0649324,710_151
D064932729,473_25
D064932729,514_164
D064932729,747_76
D0649328,1037_128
D0649328,1537_17
D0649328,1790_118
D0649328,1818_170
D0649328,2338_37
D0649328,2435_119
D0649328,375_69
D0649328,377_84
D0649328,507_98
D0649330,0_160
D0649330,1005_30
D0649330,1179_127
D0649330,1317_18
D0649330,1889_22
D0649330,1940_75
D0649330,2433_44
D0649330,787_61
D0649330,84_167
D0649345,1238_99
D0649345,127_43
D0649345,1409_73
D0649345,1516_170
D0649345,2192_182
D0649345,529_144
D064934587,1009_27
D064934587,1255_17
D064934587,1556_51
D064934587,1701_177
D064934587,1930_93
D064934587,2001_59
D064934587,294_53
D064934587,627_8
D064934587,882_58
D0649356,1278_57
D0649356,1309_127
D0649356,1330_52
D0649356,151_162
D0649356,1938_100
D0649356,2271_152
D0649356,395_151
D0649360,1398_70
D0649360,2299_26
D0649360,2360_86
D0649360,2369_42
D0649360,320_131
D0649360,49_38
D0649360,4_48
D0649360,550_142
D0649367,1099_117
D0649367,1485_110
D0649367,1491_115
D0649367,1538_51
D0649367,167_23
D0649367,1934_11
D0649367,2304_176
D0649367,327_31
D0649367,638_57
D0649367,808_145
D0649367,91_97
D0649367,920_28
D0649370,1127_89
D0649370,1210_102
D0649370,1279_98
D0649370,1347_176
D0649370,1961_142
D0649370,2122_147
D0649370,373_56
D0649370,856_91
D0649370,984_85
D064937458,1155_164
D064937458,1596_181
D064937458,1907_180
D064937458,2133_15
D064937458,2368_170
D064937458,2462_172
D064937458,455_167
D064937458,810_53
D064937458,966_105
D0649375,1006_173
D0649375,1143_66
D0649375,1779_105
D0649375,1791_15
D0649375,2131_127
D0649375,2400_72
D0649375,2461_138
D0649375,372_139
D0649375,859_184
D0649396,1018_82
D0649396,1077_28
D0649396,1159_1
D0649396,1504_43
D0649396,1729_20
D0649396,1978_175
D0649396,2399_102
D0649396,582_82
D0649396,767_173
D0649396,932_45
D064942339,1092_6
D064942339,1168_117
D064942339,1235_40
D064942339,1340_70
D064942339,1964_115
D0649432,1119_166
D0649432,1652_43
D0649432,1811_56
D0649432,2094_58
D0649432,2394_55
D0649432,2420_1
D0649432,660_75
D0649432,936_145
D0649446,171_94
D0649446,2036_128
D0649446,2051_158
D0649446,808_12
D0649446,820_155
D064948331,1228_134
D064948331,1378_29
D064948331,1949_4
D064948331,1959_119
D064948331,2123_91
D064948331,2136_139
D064948331,2157_19
D064948331,217_122
D064948331,2368_181
D064948331,564_9
D064948331,617_59
D064948331,754_107
D064948331,958_135
D064949789,1060_164
D064949789,1669_55
D064949789,1754_139
D064949789,2188_104
D064949789,843_20
D064949918,1044_179
D064949918,1188_93
D064949918,1517_113
D064949918,1623_79
D064949918,1653_32
D064949918,1696_161
D064949918,1817_45
D064949918,2108_142
D064949918,380_101
D064949918,913_134
D064949918,980_88
D0649521,1097_145
D0649521,1113_113
D0649521,1611_76
D0649521,2272_101
D0649521,471_27
D0649523,1023_156
D0649523,1060_130
D0649523,1156_33
D0649523,1576_75
D0649523,1843_60
D0649523,2036_160
D0649523,930_60
D064953809,2060_95
D064953809,208_157
D064953809,2341_50
D0649553,1134_97
D0649553,1934_116
D0649553,1954_38
D0649553,1959_106
D0649553,2060_10
D0649553,2151_140
D0649553,215_80
D0649553,2434_54
D0649571,1116_60
D0649571,1377_143
D0649571,1554_172
D0649571,620_0
D0649571,900_154
D0649593,2094_161
D0649593,2213_26
D0649593,508_184
D0649593,61_41
D0649593,663_34
D0649612,0_53
D0649612,1428_93
D0649612,1990_56
D0649612,210_45
D0649612,337_17
D0649612,369_128
D0649612,386_155
D0649612,91_61
D0649612,960_72
D0649618,2219_2
D0649618,2289_108
D0649618,2365_50
D0649618,250_42
D0649618,433_82
D0649618,630_10
D0649618,991_51
D0649642,1181_7
D0649642,1794_121
D0649642,2171_183
D0649642,647_112
D0649642,907_148
D0649655,1065_170
D0649655,1110_49
D0649655,126_134
D0649655,1719_16
D0649655,1860_34
D0649655,1986_150
D0649655,303_80
D0649655,386_127
D0649655,491_64
D0649655,585_63
D0649655,911_127
D0649675,1139_13
D0649675,1603_67
D0649675,1688_104
D0649675,1703_97
D0649675,1930_108
D0649675,1959_52
D0649675,2001_60
D0649681,1391_48
D0649681,1409_158
D0649681,2222_90
D0649681,2270_147
D0649681,587_78
D064969602,2329_129
D064969602,2408_177
D064969602,627_108
D064969602,631_144
D064969602,874_78
D0649706,1307_56
D0649706,2323_76
D0649706,2423_183
D0649766,1000_124
D0649766,117_8
D0649766,120_166
D0649766,162_107
D0649766,196_49
D0649766,2048_64
D0649766,229_56
D064977003,1471_68
D064977003,1548_2
D064977003,1599_43
D064977003,161_172
D064977003,1987_149
D064977003,399_162
D064977003,516_52
D064977003,655_113
D064977003,893_130
D064977065,1231_90
D064977065,1677_59
D064977065,1855_40
D064977065,196_18
D064977065,360_157
D064977065,468_83
D064977683,1071_93
D064977683,1596_110
D064977683,177_98
D064977683,2092_5
D064977683,727_128
D0649790,1275_36
D0649790,134_108
D0649790,2269_160
D0649790,2395_156
D0649790,2436_165
D064980478,1156_171
D064980478,1179_103
D064980478,1629_126
D064980478,1782_70
D064980478,839_60
D064983479,1142_87
D064983479,1366_175
D064983479,1909_37
D064983479,2210_7
D064983479,443_73
D064983479,643_130
D064983479,714_111
D0649855,1273_67
D0649855,1343_0
D0649855,1852_157
D0649855,1864_93
D0649855,2052_133
D0649855,312_135
D0649855,357_71
D0649883,1525_168
D0649883,1732_54
D0649883,1874_31
D0649883,217_51
D0649883,2210_29
D0649883,2229_125
D0649883,2234_96
D0649883,2276_47
D0649883,277_73
D0649883,489_30
D0649883,932_135
D064991757,1051_89
D064991757,1128_132
D064991757,1166_75
D064991757,1448_154
D064991757,1639_110
D064991757,268_23
D0649924,1369_184
D0649924,1456_9
D0649924,1471_113
D0649924,156_138
D0649924,1899_81
D0649924,215_27
D0649924,2218_182
D0649924,669_163
D064993805,1299_39
D064993805,139_8
D064993805,2418_95
D064993805,73_14
D0649943,1463_42
D0649943,1626_141
D0649943,1926_163
D0649943,1948_22
D0649943,1961_188
D0649943,2147_166
D0649943,2276_180
