D023232709,957_54
D023232891,1264_7
D023232891,1922_12
D023232891,1924_48
D023232891,2277_29
D023232891,363_173
D023232891,636_5
D023232891,75_175
D023240766,1547_169
D023240766,2240_113
D023240766,257_105
D023240766,474_180
D023240766,498_175
D023240766,692_99
D023241473,1332_93
D023241473,1336_132
D023241473,1475_15
D023241473,363_119
D023241473,63_72
D023241473,964_126
D023244764,1942_88
D023244764,199_134
D023244764,543_142
D023244764,726_117
D023245211,1019_155
D023245211,1545_103
D023245211,1579_139
D023245211,1606_162
D023245211,1898_154
D023245211,226_131
D023245211,347_98
D023246843,1052_100
D023246843,1481_174
D023246843,1685_101
D023246843,658_52
D023246843,810_127
D023250130,1219_52
D023250130,1967_146
D023250130,371_34
D023250130,605_144
D023250130,790_64
D023250130,977_92
D023254121,1479_128
D023254121,1526_73
D023254121,2129_137
D023254121,2424_3
D023254121,847_54
D023254121,854_143
D023254121,919_45
D023256699,1116_176
D023256699,1121_31
D023256699,1333_59
D023256699,1796_65
D023256699,1892_154
D023256699,617_186
D023256699,897_100
D023257610,1303_5
D023257610,1569_141
D023257610,1720_173
D023257610,2051_3
D023257610,295_131
D023257610,318_21
D023260450,1120_177
D023260450,1161_55
D023260450,1681_73
D023260450,1787_126
D023260450,1812_97
D023260450,48_0
D023260450,638_55
D023260450,788_122
D023270572,1126_108
D023270572,176_154
D023270572,1918_3
D023270572,924_103
D023270572,991_66
D023272064,1913_15
D023272064,1957_110
D023272064,1973_142
D023272064,2439_98
D023272064,301_67
D023272064,32_93
D023272064,435_185
D023272064,533_24
D023272064,732_16
D023272064,787_164
D023272064,972_27
D023272064,990_0
D023277007,1458_102
D023277007,1715_127
D023277007,1965_158
D023277007,2204_78
D023277007,2340_172
D023277007,2436_125
D023277007,2467_20
D023277007,393_112
D023277007,69_177
D023277007,842_84
D023277007,925_112
D023277007,999_88
D023278455,1059_26
D023278455,1187_111
D023278455,1687_54
D023278455,1833_114
D023278455,1925_25
D023278455,2324_89
D023278929,1038_171
D023278929,721_123
D023278929,823_137
D023280335,1285_66
D023280335,2399_119
D023280335,2420_109
D023280335,2440_16
D023280892,1007_135
D023280892,1239_159
D023280892,2198_102
D023280892,242_179
D023280892,783_151
D023283497,1364_78
D023283497,1505_16
D023283497,170_51
D023283497,176_145
D023283497,2040_82
D023287495,1446_66
D023287495,586_76
D023287495,840_90
D023288232,1072_6
D023288232,118_162
D023288232,1217_94
