D058581469,778_41
D058581971,1029_138
D058581971,1269_115
D058581971,1963_21
D058581971,2102_22
D058581971,2461_184
D058581971,486_7
D058581971,567_141
D058581971,651_84
D0585836,1192_110
D0585836,1277_71
D0585836,1351_182
D0585836,1899_174
D0585836,2155_8
D0585836,2184_74
D0585836,24_47
D0585836,431_74
D0585836,787_130
D0585847,1682_148
D0585847,1928_65
D0585847,2143_101
D0585847,2405_22
D0585847,400_68
D0585847,409_19
D0585847,998_123
D0585854,1017_11
D0585854,125_115
D0585854,126_65
D0585854,1694_84
D0585854,1913_160
D0585854,2089_146
D0585854,350_108
D0585854,38_86
D0585854,89_79
D0585871,1026_119
D0585871,1366_3
D0585871,1424_134
D0585871,237_60
D0585871,282_178
D0585871,487_57
D0585871,722_178
D0585871,75_114
D0585872,1585_35
D0585872,1748_145
D0585872,1844_165
D0585872,1892_103
D0585872,2162_114
D0585872,2245_47
D0585872,2345_83
D0585872,396_157
D0585872,653_80
D0585872,942_122
D058588192,1203_59
D058588192,1385_157
D058588192,1426_42
D058588192,1469_100
D058588192,1475_126
D058588192,1635_71
D058588192,198_148
D058588192,2138_112
D058588192,2336_79
D058588192,2447_120
D058588192,50_144
D058588192,691_82
D058589137,149_184
D058589137,1702_85
D058589137,1899_18
D058589137,2076_44
D058589137,2186_178
D058589137,234_183
D058589137,28_137
D058589137,376_174
D058589137,527_91
D0585894,1443_186
D0585894,1474_13
D0585894,1892_104
D0585894,2086_64
D0585894,657_175
D0585903,1104_120
D0585903,1160_114
D0585903,1343_126
D0585903,1378_74
D0585903,1612_79
D0585903,1616_130
D0585903,294_44
D0585903,488_24
D0585903,710_161
D0585903,719_110
D058591260,1075_140
D058591260,200_101
D058591260,2097_163
D058591260,22_118
D058591260,2328_59
D058591260,294_142
D058591260,805_104
D058591260,898_12
D058591260,914_7
D058593738,1313_170
D058593738,1373_180
D058593738,2244_13
D058593738,475_87
D058593738,593_96
D058593738,737_58
D058593738,749_60
D058593738,821_129
D0585949,1134_25
D0585949,1221_169
D0585949,1481_75
D0585949,1593_126
D0585949,1660_68
D0585949,1740_119
D0585949,2106_132
D0585949,2338_136
D0585949,270_31
D0585949,293_31
D0585960,1654_85
D0585960,1685_137
D0585960,1730_166
D0585960,1828_148
D0585960,1840_151
D0585960,1863_62
D0585960,1971_123
D0585960,2155_185
D0585960,311_95
D058597859,1313_53
D058597859,1512_176
D058597859,1618_145
D058597859,1690_93
D058597859,1938_147
D058597859,1959_99
D0585994,1124_53
D0585994,1251_41
D0585994,1524_189
D0585994,1615_96
D0585994,1986_164
D0585994,2127_49
D0585994,21_33
D058600009,1128_183
D058600009,1397_60
D058600009,1543_29
D058600009,1659_134
D058600009,1714_171
D058600009,1749_7
D058600009,1809_87
D058600009,1848_21
D058600009,1941_59
D058600009,2193_94
D058600009,2329_35
D058600009,359_37
D058600009,85_141
D058600160,1285_10
D058600160,143_69
D058600160,1722_154
D058600160,1799_116
D058600160,1866_93
D058600160,1950_72
D058600160,2150_162
D058600160,234_68
D058600160,2404_79
D058600160,579_116
D058600740,1554_181
D058600740,1704_118
D058600740,2037_39
D058600740,2347_80
D058600740,402_18
D058600740,680_186
D058600740,7_147
D058601884,1044_98
D058601884,117_62
D058601884,1212_149
D058601884,1502_17
D058601884,1553_128
D058601884,1722_63
D058601884,2299_34
D058601884,2454_93
D058601884,307_35
D058603437,1017_154
D058603437,1503_118
D058603437,2219_137
D058603437,775_40
D058603437,947_164
D0586038,1080_83
D0586038,1227_114
D0586038,1284_81
D0586038,1606_86
D0586038,1804_108
D0586038,2064_130
D0586038,2179_185
D0586038,223_100
D0586038,2295_48
D0586038,2351_118
D0586038,519_3
D0586045,1114_124
D0586045,1262_133
